ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},measure
1,De-centralized data,PV radiation,W/m2,Savona - Campus,savona_campus_bms_radiation_pv,radiation_pv, PV_rad
2,De-centralized data,Electrical power generated by the PV field,kW,Savona - Campus,savona_campus_bms_electricalpower_pv,electricalpower_pv, PV_Pel
3,De-centralized data,Electrical power generated by the dual mode Capstone microturbine,kW,Savona - Campus,savona_campus_bms_electricalpower_dualmode_chp,electricalpower_dualmode_chp, CHP_C65B_Pel
4,De-centralized data,Thermal power delivered by the dual mode Capstone microturbine,kW,Savona - Campus,savona_campus_bms_thermalpower_dualmode_chp,thermalpower_dualmode_chp, CHP_C65B_Pth
5,De-centralized data,Electrical power generated by the grid connected Capstone microturbine,kW,Savona - Campus,savona_campus_bms_electricalpower_grid_chp,electricalpower_grid_chp, CHP_C65_Pel
6,De-centralized data,Thermal power delivered by the the grid connected Capstone microturbine,kW,Savona - Campus,savona_campus_bms_thermalpower_grid_chp,thermalpower_grid_chp, CHP_C65_Pth
7,De-centralized data,Electrical power exchanged by the FIAMM SoNick storage system,kW,Savona - Campus,savona_campus_bms_electricalpower_storage,electricalpower_storage, STO_Pel
8,De-centralized data,Electrical power exchanged with the external network,kW,Savona - Campus,savona_campus_bms_electricalpower_network,electricalpower_network, NET_Pel
9,De-centralized data,Thermal power delivered by the boilers,kW,Savona - Campus,savona_campus_bms_thermalpower_boilers,thermalpower_boilers, BO_Pth
10,De-centralized data,Cooling power delivered by the chiller (to the library),kW,Savona - Campus,savona_campus_bms_coolingpower_chiller,coolingpower_chiller, CHILLER_Pth_out
11,De-centralized data,"Thermal in input to the chiller (from the thermal station, i.e. the microturbine)",kW,Savona - Campus,savona_campus_bms_thermalpower_chiller,thermalpower_chiller, CHILLER_Pth_in
